Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-train/rec.sport.baseball/104370
Truth category: 1 (rec.sport.baseball)
Assigned cluster: 0 (space orbit like use launch know moon think time shuttl)

Raw data:
============ START RAW ==========================
From: jerry@sheldev.shel.isc-br.com (Gerald Lanza)
Subject: Re: '61 Orioles Trivia
Organization: Olivetti North America (Shelton, CT)
Lines: 20

In article <1993Apr14.190432.1706@hpcvaac.cv.hp.com> paula@koufax.cv.hp.com (Paul Andresen) writes:
>In article <1993Apr13.151809.1286@galileo.cc.rochester.edu>, sparky@balsa.lle.rochester.edu (Michael Mueller) writes:
>|> Hi All,
>|> 
>|> Does anyone know who were the 4 pitchers for the 1961 Orioles 
>|> that were referred to as the "Kiddy Corp" because they were so young?
>
>Steve Barber  22   18-12
>Chuck Estrada 23   15-9
>Jack Fisher   22   10-13
>Milt Pappas   22   13-9
>

	This list brings to mind possible the worst trade since Babe for
	NONO NANNETTE, i.e., Milt Pappas for Frank Robinson, I think in
	1965 ?. Robinson proceeded to win the triple crown in 1966 and
	may have beaten out Yaz in '67 but was injured on a slide into 
	second when he collided with the mighty Al Weis (Chisox). 

					jerry

========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 oriol trivia        anyon know pitcher oriol
refer kiddi corp young  steve barber chuck estrada
jack fisher milt pappa   list bring mind possibl
worst trade sinc babe nono nannett milt pappa
frank robinson think robinson proceed win tripl
crown beaten yaz injur slide second collid mighti
wei chisox  jerri
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
milt, 5728, 0.380594062278
robinson, 7441, 0.320380217058
oriol, 6295, 0.281595468406
kiddi, 5009, 0.2050100116
fisher, 3506, 0.2050100116
barber, 908, 0.2050100116
crown, 2247, 0.194349840208
beaten, 975, 0.190297031139
collid, 1901, 0.176126156845
mighti, 5709, 0.172073347776
trivia, 9109, 0.168562644874
slide, 8031, 0.165465985452
jerri, 4854, 0.165465985452
chuck, 1740, 0.164044492372
tripl, 9105, 0.162695929207
babe, 846, 0.162695929207
injur, 4649, 0.159021417566
proceed, 6889, 0.142570847593
corp, 2153, 0.139678790119
trade, 9033, 0.129759265383
worst, 9849, 0.129018618726
jack, 4808, 0.122861389412
young, 9962, 0.117402297687
steve, 8390, 0.117168596436
frank, 3655, 0.112491731667
bring, 1316, 0.111162650695
pitcher, 6644, 0.104493644222
mind, 5733, 0.102422399018
refer, 7213, 0.0969301322512
list, 5298, 0.0962914477844
win, 9770, 0.0955654114185
second, 7753, 0.0914979920589
possibl, 6765, 0.0861982248863
sinc, 7977, 0.0801459065865
anyon, 554, 0.0706492532664
think, 8871, 0.0602147589473
know, 5052, 0.05663083068
