Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-train/sci.space/60781
Truth category: 2 (sci.space)
Assigned cluster: 0 (space orbit like use launch know moon think time shuttl)

Raw data:
============ START RAW ==========================
From: higgins@fnalf.fnal.gov (Bill Higgins-- Beam Jockey)
Subject: Re: How to get there? (was Re: Comet in Temporary Orbit Around Jupiter?
Organization: Fermi National Accelerator Laboratory
Lines: 27
NNTP-Posting-Host: fnalf.fnal.gov

In article <1993Apr15.051309.22252@stortek.com>, pg@sanitas.stortek.com (Paul Gilmartin) writes:
> Bill Higgins-- Beam Jockey (higgins@fnalf.fnal.gov) wrote:
> : While you're at it, comet experts, explain how a comet gets into
> : Jovian orbit to begin with!
> 
> : There are non-gravitational forces from heating and outgassing when a
> : comet gets into the inner solar system.  [...]
> 
> Don't forget the Galilean satellites of Jupiter.  
 
 My poor old physics intuition will be very surprised if these tiny
 masses, sitting very close to Jupiter, play any role whatsoever in the
 problem.   Or, to put it more technically, the extra "volume" they add
 to the phase space of possible capture trajectories is negligible.
 
 Jupiter is 2E27 kg, while the Galilean satellites are around 1E23.
 
 Also, as I said, the few references that I've looked at do not
 mention outgassing or breakup as important processes.  The important
 thing is a Jupiter-Sun-comet "reverse slingshot" that leads to a
 weakly Jupiter-bound orbit for the comet (at least a temporary one).
 
 Bill Higgins                       | Late at night she still doth haunt me
 Fermilab                           | Dressed in garments soaked in brine
 Bitnet:       HIGGINS@FNAL.BITNET  | Though in life I used to hug her
 Internet:   HIGGINS@FNAL.FNAL.GOV  | Now she's dead, I draw the line!
 SPAN/Hepnet:       43011::HIGGINS  |  --after the tragedy, "Clementine"

========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 get comet temporari orbit around jupit
you'r comet expert explain comet get jovian orbit
begin  non gravit forc heat outgass comet get
inner solar system  don't forget galilean satellit
jupit  poor old physic intuit surpris tini mass
sit close jupit play role whatsoev problem put
technic extra volum add phase space possibl captur
trajectori neglig  jupit 2e27 galilean satellit
around 1e23  also said refer i'v look mention
outgass breakup import process import thing jupit
sun comet revers slingshot lead weak jupit bound
orbit comet least temporari one  bill higgin late
night still doth haunt fermilab dress garment soak
brine   span hepnet higgin tragedi clementin
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
jupit, 4932, 0.480035581707
comet, 1926, 0.478288149142
galilean, 3754, 0.231622280601
higgin, 4291, 0.192452418409
temporari, 8778, 0.176831807433
orbit, 6280, 0.166018857421
satellit, 7632, 0.13083840616
import, 4551, 0.115904995908
intuit, 4736, 0.1158111403
dress, 2867, 0.1158111403
breakup, 1288, 0.1158111403
soak, 8084, 0.113023521611
fermilab, 3448, 0.110666623592
doth, 2827, 0.108624985663
clementin, 1809, 0.106824133382
jovian, 4902, 0.105213216123
neglig, 5998, 0.103755964204
hepnet, 4260, 0.101201778639
gravit, 4009, 0.100068699415
tragedi, 9039, 0.0962262092046
whatsoev, 9719, 0.0946152919455
inner, 4656, 0.0946152919455
tini, 8941, 0.0938693111856
revers, 7356, 0.0889342439537
span, 8181, 0.0879145613379
trajectori, 9044, 0.0874291373083
bound, 1250, 0.0860590056973
phase, 6583, 0.0844044662327
heat, 4226, 0.0844044662327
expert, 3298, 0.0844044662327
weak, 9668, 0.0836398282739
captur, 1509, 0.0825601158493
role, 7463, 0.082216515487
sit, 7993, 0.0775652535757
volum, 9577, 0.0773166371604
poor, 6741, 0.0728565736739
mass, 5533, 0.072313691581
extra, 3325, 0.0712825432184
late, 5139, 0.0701613393907
forget, 3604, 0.0697049003417
surpris, 8593, 0.0688309726204
technic, 8737, 0.0678707736782
solar, 8107, 0.0678707736782
begin, 994, 0.0678707736782
physic, 6613, 0.0664740746015
add, 260, 0.0656474098936
forc, 3594, 0.0633069434428
sun, 8539, 0.0632086178779
night, 6063, 0.0620755386533
lead, 5172, 0.0620755386533
process, 6890, 0.0618049196833
explain, 3301, 0.0618049196833
mention, 5632, 0.0611915021234
non, 6097, 0.0606017485256
close, 1830, 0.0579524979542
old, 6216, 0.0578141298365
refer, 7213, 0.0563694052208
said, 7583, 0.0508972106436
play, 6681, 0.0504227429547
possibl, 6765, 0.0501282991685
problem, 6887, 0.0481022920868
space, 8164, 0.043369889708
thing, 8869, 0.0417696869362
look, 5341, 0.0381566728575
don, 2811, 0.0346803020692
