Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-train/sci.space/61195
Truth category: 2 (sci.space)
Assigned cluster: 0 (space orbit like use launch know moon think time shuttl)

Raw data:
============ START RAW ==========================
From: maverick@wpi.WPI.EDU (T. Giaquinto)
Subject: General Information Request
Organization: Worcester Polytechnic Institute, Worcester, MA 01609-2280
Lines: 11
NNTP-Posting-Host: wpi.wpi.edu


	I am looking for any information about the space program.
This includes NASA, the shuttles, history, anything!  I would like to
know if anyone could suggest books, periodicals, even ftp sites for a
novice who is interested in the space program.



					Todd Giaquinto
					maverick@wpi.WPI.EDU
					

========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 general inform request      look inform space
program includ nasa shuttl histori anyth like know
anyon could suggest book period even ftp site
novic interest space program    todd giaquinto
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
todd, 8965, 0.351317990245
inform, 4637, 0.340318990554
program, 6905, 0.32139382285
space, 8164, 0.293701140098
request, 7301, 0.245459875864
period, 6546, 0.230718911263
histori, 4314, 0.223863219412
site, 7994, 0.213365053924
ftp, 3709, 0.20927163404
shuttl, 7929, 0.208371254188
general, 3818, 0.199883232439
suggest, 8525, 0.197417502788
nasa, 5956, 0.19483430982
book, 1218, 0.185433617948
includ, 4579, 0.178139958681
anyth, 555, 0.177480452481
anyon, 554, 0.139116788039
look, 5341, 0.129198602948
know, 5052, 0.111512845556
like, 5272, 0.10900877367
