Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-test/sci.space/61449
Truth category: 2 (sci.space)
Assigned cluster: 0 (space orbit like use launch know moon think time shuttl)

Raw data:
============ START RAW ==========================
From: c23st@kocrsv01.delcoelect.com (Spiros Triantafyllopoulos)
Subject: Re: Internet resources
Organization: Delco Electronics Corp.
Distribution: sci
Lines: 15

In article <C69C9K.9FA.1@cs.cmu.edu> STK1203@VAX003.STOCKTON.EDU writes:
>I am taking a course entitled "Exploring Science Using Internet".
>For our final project, we are to find a compendium of Internet resources 
>dealing with a science-related topic. I chose Astronomy. Anyway, I was 
>wondering if anyone out there knew of any interesting resources on Internet
>that provide information on Astronomy, space, NASA, or anything like that.

Robert McElwaine is the authoritative source of scientific data on Internet.
He can be reached alt.fan.mc-elwaine...

Spiros
-- 
Spiros Triantafyllopoulos                    c23st@kocrsv01.delcoelect.com
Software Technology, Delco Electronics       (317) 451-0815
GM Hughes Electronics, Kokomo, IN 46904      "I post, therefore I ARMM"

========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 internet resourc      take cours entitl explor
scienc use internet final project find compendium
internet resourc deal scienc relat topic chose
astronomi anyway wonder anyon knew interest
resourc internet provid inform astronomi space
nasa anyth like  robert mcelwain authorit sourc
scientif data internet reach alt fan elwain  spiro
softwar technolog delco electron hugh electron
kokomo post therefor armm
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
internet, 4717, 0.582876877767
resourc, 7320, 0.346172722426
electron, 3034, 0.23963417557
astronomi, 729, 0.233761495761
scienc, 7692, 0.181455254616
compendium, 1967, 0.172474727114
authorit, 797, 0.172474727114
mcelwain, 5576, 0.15721413303
hugh, 4428, 0.154175574954
chose, 1726, 0.14791631441
entitl, 3132, 0.14206167623
alt, 446, 0.123967392627
knew, 5045, 0.121245545655
topic, 8992, 0.115975918432
scientif, 7693, 0.114819662768
explor, 3307, 0.114819662768
robert, 7437, 0.109289802408
therefor, 8855, 0.108406913114
reach, 7128, 0.105547520279
deal, 2418, 0.0981338371794
fan, 3381, 0.0966203467186
technolog, 8743, 0.0964873229342
final, 3482, 0.0953218136856
relat, 7247, 0.0928019617685
nasa, 5956, 0.091363736536
project, 6909, 0.0901077609543
data, 2385, 0.0899046067987
provid, 6949, 0.0898036637014
sourc, 8153, 0.0896030280146
wonder, 9821, 0.0881488940136
anyth, 555, 0.0832259847649
cours, 2190, 0.0830728184529
softwar, 8103, 0.0810241643021
inform, 4637, 0.0797929651607
post, 6766, 0.0709017305857
space, 8164, 0.0688627008482
anyon, 554, 0.0652360951304
use, 9363, 0.0536162829868
like, 5272, 0.0511175310286
