Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-test/sci.space/61514
Truth category: 2 (sci.space)
Assigned cluster: 0 (space orbit like use launch know moon think time shuttl)

Raw data:
============ START RAW ==========================
From: nsmca@aurora.alaska.edu
Subject: Electrical Spacecraft via Magnetic field of earth?
Lines: 22
Nntp-Posting-Host: acad3.alaska.edu
Organization: University of Alaska Fairbanks

Okay, the earth has a magnetic field (unless someone missed something?)

Okay if you put a object in the earth magnetic field, it produces electricty..

Now the question. Can you use electricity to power a space/low earth orbit
vehicle? and i fyou can, can you use the magnetic field of the earth to power
it??
Can the idea of a "dragless" satellite be used in part to create the electrical
field?

After all the dragless satellite is (I might be wrong), a suspended between to
pilons, the the pilons compensate for drag.. I think I know what I want to say,
just not sure how to say it..

A dragless satellite sounds interestingly enough liek a generator.

==
Michael Adams, nsmca@acad3.alaska.edu -- I'm not high, just jacked

Sorry for spelling, have not brought windows 3.1 online with my modem and comm
program. YET!! almos tthere..


========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 electr spacecraft via magnet field earth     okay
earth magnet field unless someon miss someth  okay
put object earth magnet field produc electricti
question use electr power space low earth orbit
vehicl fyou use magnet field earth power  idea
dragless satellit use part creat electr field
dragless satellit might wrong suspend pilon pilon
compens drag think know want say sure say
dragless satellit sound interest enough liek
generat     sorri spell brought window onlin modem
comm program yet almo tthere
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
magnet, 5437, 0.414202521335
dragless, 2855, 0.371749500665
field, 3466, 0.322151829415
earth, 2956, 0.298191431156
electr, 3030, 0.286233901339
pilon, 6630, 0.276844750788
satellit, 7632, 0.219755110345
okay, 6215, 0.170491564597
fyou, 3741, 0.133497212205
electricti, 3031, 0.133497212205
power, 6783, 0.127089285691
use, 9363, 0.113431768263
suspend, 8604, 0.113318449756
compens, 1968, 0.113318449756
liek, 5259, 0.110868540377
modem, 5809, 0.109763630551
comm, 1932, 0.102123123825
spell, 8220, 0.0978968397243
onlin, 6245, 0.0958803752759
drag, 2854, 0.094954735782
say, 7653, 0.0869315428087
brought, 1343, 0.0842530311534
vehicl, 9449, 0.0819971200007
spacecraft, 8166, 0.0762971567099
produc, 6895, 0.0758485678949
generat, 3819, 0.0741632580706
miss, 5770, 0.0723862403265
window, 9774, 0.0712211541284
low, 5368, 0.0705583554748
unless, 9289, 0.069712743587
sound, 8150, 0.067221630433
creat, 2217, 0.0661837271908
sorri, 8142, 0.066016699912
object, 6173, 0.063048371568
wrong, 9869, 0.0628400100475
orbit, 6280, 0.0619653126197
idea, 4482, 0.0585297981504
someon, 8124, 0.0559444663147
sure, 8585, 0.0551333596703
program, 6905, 0.0531413630841
question, 7032, 0.0518223268022
someth, 8126, 0.0503962712156
space, 8164, 0.0485624732477
want, 9634, 0.0466361942245
think, 8871, 0.0392102921721
know, 5052, 0.0368765308661
