Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-test/comp.graphics/38879
Truth category: 0 (comp.graphics)
Assigned cluster: 1 (graphic imag file thank program format gif use bit help)

Raw data:
============ START RAW ==========================
From: eric.vitiello@tfd.coplex.com (Eric Vitiello) 
Subject: 3DS: Where did all the te
Distribution: world
Organization: Ky/In PC User's Group - Louisville, KY - 502-423-8654
Reply-To: eric.vitiello@tfd.coplex.com (Eric Vitiello) 
Lines: 20

TO: rych@festival.ed.ac.uk (R Hawkes)

RH>I've noticed that if you only save a model (with all your mapping planes
RH>positioned carefully) to a .3DS file that when you reload it after restarting
RH>3DS, they are given a default position and orientation.  But if you save
RH>to a .PRJ file their positions/orientation are preserved.  Does anyone
RH>know why this information is not stored in the .3DS file?  Nothing is

    This is because the PRJ (Project) format saves all of your settings,
    right down to the last render file's name.

RH>I'd like to be able to read the texture rule information, does anyone have
RH>the format for the .PRJ file?

    Sorry... Don't have anything on that or the CEL format.

....r.c V.t.ell. .r...
---
 . DeLuxe./386 1.25 #959sa . .....Stupid ..... Line ...}. Noise!!
                                                                                         

========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 3ds        i'v notic save model map plane posit
care 3ds file reload restart 3ds given default
posit orient save prj file posit orient preserv
anyon know inform store 3ds file noth  prj project
format save set right last render file name  i'd
like abl read textur rule inform anyon format prj
file  sorri don't anyth cel format  ell  delux
959sa stupid line nois
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
3ds, 99, 0.492262753134
prj, 6882, 0.431829916946
file, 3477, 0.3287979499
save, 7646, 0.229463110133
format, 3612, 0.228167352564
posit, 6761, 0.223850955067
orient, 6290, 0.188685029462
cel, 1595, 0.148183842306
reload, 7262, 0.14047853492
delux, 2512, 0.137549113009
restart, 7325, 0.128959756631
inform, 4637, 0.124922308044
preserv, 6838, 0.115787446652
default, 2470, 0.114942701968
nois, 6092, 0.113358149033
textur, 8825, 0.108666912367
anyon, 554, 0.102132356594
store, 8417, 0.0964069516474
render, 7277, 0.0957938782782
stupid, 8476, 0.0929941744565
plane, 6663, 0.0922288243283
notic, 6120, 0.0877892950019
map, 5498, 0.0852022900358
model, 5807, 0.0796921463878
rule, 7537, 0.079308221688
care, 1516, 0.0748159776918
sorri, 8142, 0.0732794946632
project, 6909, 0.0705354754549
abl, 180, 0.0695248195571
noth, 6119, 0.0691499824288
given, 3887, 0.0682086580373
set, 7815, 0.0680678897916
anyth, 555, 0.065148488248
line, 5285, 0.062990537175
read, 7135, 0.0578483908045
right, 7399, 0.0578074787838
don, 2811, 0.0431046383602
know, 5052, 0.0409334842608
like, 5272, 0.040014304173
