Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-test/comp.graphics/38996
Truth category: 0 (comp.graphics)
Assigned cluster: 1 (graphic imag file thank program format gif use bit help)

Raw data:
============ START RAW ==========================
From: ddunlavy@casbah.acns.nwu.edu (Daniel Dunlavy)
Subject: Picture -> Ascii Conversion?
Nntp-Posting-Host: casbah.acns.nwu.edu
Organization: Northwestern University, Evanston IL
Lines: 10

I was wondering if anyone has ever seen/heard of a utility that converts
any type of image format (gif,tiff,pcx,bmp,jpeg,etc.) to an ascii
representation.  I have seen some very sophiticated art in ascii format, but
never was I able to find the author or any program that may have converted
the data from a picture format.

Any help or leads would be great. Thanks in advance.
Danny Dunlavy

ddunlavy@casbah.acns.nwu.edu

========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 pictur ascii convers     wonder anyon ever seen
heard util convert type imag format gif tiff pcx
bmp jpeg etc ascii represent seen sophit art ascii
format never abl find author program convert data
pictur format  help lead great thank advanc danni
dunlavi
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
ascii, 676, 0.527100399028
format, 3612, 0.360498331447
pictur, 6622, 0.253479600615
convert, 2115, 0.241352932995
seen, 7767, 0.222888339839
danni, 2361, 0.196512031449
represent, 7295, 0.19444050512
bmp, 1183, 0.180328541496
pcx, 6490, 0.172644084949
jpeg, 4905, 0.153834609878
tiff, 8926, 0.149058657003
convers, 2114, 0.1473424629
art, 660, 0.146928315331
util, 9384, 0.140978008922
gif, 3869, 0.126739800308
author, 796, 0.123180017873
lead, 5172, 0.121902155973
type, 9177, 0.117273747486
heard, 4224, 0.114079652182
advanc, 285, 0.113533724002
data, 2385, 0.11119291136
abl, 180, 0.109847360557
wonder, 9821, 0.109021467392
imag, 4512, 0.100646745441
great, 4016, 0.0998645680575
program, 6905, 0.0931989674052
help, 4249, 0.0882095689523
thank, 8832, 0.0840841072785
anyon, 554, 0.080683199689
