Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-train/talk.religion.misc/83701
Truth category: 3 (talk.religion.misc)
Assigned cluster: 2 (god christian jesus moral say peopl koresh bibl object believ)

Raw data:
============ START RAW ==========================
From: bskendig@netcom.com (Brian Kendig)
Subject: Re: 14 Apr 93   God's Promise in 1 John 1: 7
Organization: Starfleet Headquarters: San Francisco
Lines: 33

brian@lpl.arizona.edu (Brian Ceccarelli 602/621-9615) writes:
>
>Be warned, it is not my job to convert you.  That is the job of
>the Holy Spirit.  And I, frankly, make a lousy one.  I am only
>here to testify.  Your conversion is between you and God.  I am
>"out of the loop".  If you decide to follow Jesus, of which I
>indeed would be estatic, then all the glory be to God.

I've asked your god several times with all my heart to come to me.  I
really wish I could believe in him, 'cos no matter how much confidence
I build up on my own, the universe *is* a big place, and it would be
so nice to know I have someone watching over me in it...

I've gone into this with an open mind.  I've layed my beliefs aside
from time to time when I've had doubt, and I've prayed to see what
good that would do.  I don't see what more I can do to open myself to
your god, short of just deciding to believe for no good reason.  And
if I decide to believe for no good reason, why not believe in some
other god?  Zeus seems like a pretty cool candidate...

All I know is that in all my searching, even though I've set aside my
pride and decided that I want to know the truth no matter how
difficult it may be to accept, I have never had any encounter with any
deity, Christian or otherwise.

Please tell me what more I can do while still remaining true to myself.

-- 
_/_/_/  Brian Kendig                             Je ne suis fait comme aucun
/_/_/  bskendig@netcom.com                de ceux que j'ai vus; j'ose croire
_/_/                            n'etre fait comme aucun de ceux qui existent.
  /  The meaning of life     Si je ne vaux pas mieux, au moins je suis autre.
 /    is that it ends.                                           -- Rousseau

========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 god promis john      warn job convert job holi
spirit frank make lousi one testifi convers god
loop decid follow jesus inde estat glori god  i'v
ask god sever time heart come realli wish could
believ cos matter much confid build univers big
place nice know someon watch  i'v gone open mind
i'v lay belief asid time time i'v doubt i'v pray
see good don't see open god short decid believ
good reason decid believ good reason believ god
zeus seem like pretti cool candid  know search
even though i'v set asid pride decid want know
truth matter difficult accept never encount deiti
christian otherwis  pleas tell still remain true
brian kendig sui fait comm aucun  n'etr fait comm
aucun ceux qui exist mean life vaux pas mieux moin
sui autr end rousseau
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
god, 3926, 0.342474158586
decid, 2442, 0.28062300635
sui, 8527, 0.20570118721
aucun, 775, 0.20570118721
fait, 3366, 0.200437182661
believ, 1009, 0.200049760322
comm, 1932, 0.193209540486
asid, 687, 0.169488070403
job, 4873, 0.13787500896
open, 6258, 0.128556957563
matter, 5553, 0.12569467185
good, 3948, 0.124891605908
estat, 3199, 0.119716991727
time, 8936, 0.11543932943
testifi, 8815, 0.113150463815
lousi, 5365, 0.113150463815
zeus, 9986, 0.109900591763
cos, 2162, 0.109900591763
pride, 6859, 0.105994960069
know, 5052, 0.104651581099
reason, 7156, 0.104475275815
rousseau, 7497, 0.102850593605
qui, 7034, 0.102850593605
mieux, 5706, 0.102850593605
ceux, 1626, 0.102850593605
vaux, 9438, 0.101924910205
moin, 5820, 0.101049288825
etr, 3212, 0.101049288825
confid, 2029, 0.100218591331
autr, 807, 0.100218591331
pas, 6445, 0.0994284321567
deiti, 2495, 0.0986750381531
loop, 5344, 0.0979551396124
glori, 3907, 0.0979551396124
pray, 6800, 0.0966047702428
kendig, 4982, 0.0966047702428
lay, 5159, 0.0959695888116
candid, 1489, 0.0911555853705
encount, 3088, 0.0906993565947
cool, 2124, 0.0894030608997
holi, 4344, 0.0889930377203
spirit, 8238, 0.0874494845428
warn, 9643, 0.0850585120829
heart, 4225, 0.0821588169282
convers, 2114, 0.0794738029843
search, 7746, 0.0792504194355
gone, 3943, 0.0788126887206
difficult, 2635, 0.0788126887206
inde, 4594, 0.0771712799552
promis, 6913, 0.0760409340642
brian, 1304, 0.0760409340642
remain, 7264, 0.0758599818965
truth, 9132, 0.0753289490592
belief, 1008, 0.0753289490592
wish, 9801, 0.0749843605163
otherwis, 6313, 0.0726101098447
doubt, 2830, 0.0724635473012
frank, 3655, 0.0692934539846
watch, 9655, 0.0671609249724
accept, 208, 0.0665419304996
jesus, 4859, 0.0658484584818
nice, 6047, 0.0655601116863
build, 1378, 0.0653706937313
convert, 2115, 0.065090657062
short, 7904, 0.0640165585088
mind, 5733, 0.0630908751087
john, 4878, 0.0612379936908
sever, 7823, 0.0597742192487
life, 5260, 0.0596414721897
pretti, 6851, 0.059379198433
exist, 3283, 0.0580679003743
set, 7815, 0.0580080295094
true, 9121, 0.0577707351465
christian, 1732, 0.0574789245395
ask, 689, 0.0560938886197
end, 3091, 0.0558305486626
place, 6657, 0.0554689216641
big, 1082, 0.0551652555701
univers, 9282, 0.0538188978554
follow, 3578, 0.0532299220205
tell, 8767, 0.0529214355406
someon, 8124, 0.0529214355406
mean, 5595, 0.0500489565571
realli, 7150, 0.0480563769596
pleas, 6688, 0.0476415056883
come, 1923, 0.0469627566163
want, 9634, 0.0441161478354
make, 5459, 0.0406193324904
don, 2811, 0.0367341361933
like, 5272, 0.0341005273466
