Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-test/talk.religion.misc/84559
Truth category: 3 (talk.religion.misc)
Assigned cluster: 2 (god christian jesus moral say peopl koresh bibl object believ)

Raw data:
============ START RAW ==========================
From: "David R. Sacco" <dsav+@andrew.cmu.edu>
Subject: Re: What part of "No" don't you understand?
Organization: Misc. student, Carnegie Mellon, Pittsburgh, PA
Lines: 27
	<1993Apr26.150845.28537@advtech.uswest.com>
NNTP-Posting-Host: po5.andrew.cmu.edu
In-Reply-To: <1993Apr26.150845.28537@advtech.uswest.com>

On 26-Apr-93 in Re: What part of "No" don't..
user Steve Novak@advtech.uswe writes:
>> = eeb1@midway.uchicago.edu writes:
>>> = Steve Novak writes:
> 
>>>Because, of course, that possibility existed.  Meaning any student who
>>>really gave a shit could have a moment of silence on his/her own, which
>>>makes more sense than forcing those who DON'T want to participate to
>>>have to take part.  What other reason is there for an organized "moment
>>>of silence"?
> 
>>A "moment of silence" doesn't mean much unless *everyone*
>>participates.  Otherwise it's not silent, now is it?
> 
>The whole point is, maybe everyone _doesn't want_ to participate.
> 
>[...]
>>Blindly opposing everything with a flavor of religion in it is
>>utterly idiotic.
> 
>Blindly opposing everything with a flavor of religion in it that is
>supported by taxpayer money is the only way to keep christianity from
>becoming the official U.S. religion.
> 
>Not noticing that danger is utterly idiotic.
Please provide evidence that having a moment of silence for a student
who died tragically costs taxpayers money.

========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 part don't understand       part don't     cours
possibl exist mean student realli gave shit could
moment silenc make sens forc don't want particip
take part reason organ moment silenc  moment
silenc doesn't mean much unless everyon particip
otherwis it silent  whole point mayb everyon
doesn't want particip   blind oppos everyth flavor
religion utter idiot  blind oppos everyth flavor
religion support taxpay money way keep christian
becom offici religion  notic danger utter idiot
pleas provid evid moment silenc student die tragic
cost taxpay money
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
silenc, 7953, 0.422299201876
moment, 5828, 0.336499562096
particip, 6440, 0.277838286396
taxpay, 8720, 0.240210354369
flavor, 3529, 0.240210354369
religion, 7261, 0.224873746423
utter, 9387, 0.214101111022
blind, 1158, 0.211149600938
idiot, 4487, 0.195408783481
student, 8468, 0.176254037674
oppos, 6269, 0.172736489113
everyth, 3242, 0.152519770374
money, 5835, 0.14267589645
everyon, 3241, 0.141075731807
tragic, 9040, 0.125741428455
don, 2811, 0.120435018558
doesn, 2793, 0.114822233327
silent, 7954, 0.11043200536
mean, 5595, 0.109392291684
shit, 7893, 0.108660647497
want, 9634, 0.0964249175994
danger, 2356, 0.0933069219825
gave, 3798, 0.0833015417245
offici, 6207, 0.0823234582152
notic, 6120, 0.0817615441168
otherwis, 6313, 0.079352166975
evid, 3245, 0.0745852952387
organ, 6287, 0.0741003660701
sens, 7788, 0.0737451941356
forc, 3594, 0.0732824538572
die, 2628, 0.0723917598873
unless, 9289, 0.0720689763368
becom, 983, 0.0709333864402
cost, 2169, 0.0672459225566
provid, 6949, 0.0654706990597
understand, 9246, 0.0634596716112
exist, 3283, 0.0634596716112
christian, 1732, 0.0628160076794
mayb, 5564, 0.0619524799581
support, 8576, 0.0609575743311
cours, 2190, 0.0605636259457
possibl, 6765, 0.0580272016145
reason, 7156, 0.0570880525383
realli, 7150, 0.0525185495087
pleas, 6688, 0.052065156249
point, 6710, 0.0499575962019
way, 9666, 0.0462979176119
make, 5459, 0.0443909541121
