Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-train/comp.graphics/38618
Truth category: 0 (comp.graphics)
Assigned cluster: 1 (graphic imag file thank program format gif use bit help)

Raw data:
============ START RAW ==========================
From: rued@daimi.aau.dk (Thomas Rued J|rgensen)
Subject: Re: .SCF files, help needed
Organization: DAIMI: Computer Science Department, Aarhus University, Denmark
Lines: 15

tlc@cx5.com writes:

>Second problem: I can't find any graphics program that will open and display  
>these files. I have a couple of image conversion programs, none mention .scf  
>files.

RIX's files with the extension  .sci and .scf are just a RAW file with
a 256 color palette.
The first 10 bytes is a kind of header, with the name RIX among 7bytes unknown stuff. The you have 768 bytes of palette info (3*256 for the colors RGB)
and then you have the picture in raw format.
If you dont know how to make a viewer of of this description you can get VPIC
it is able to read the files!

regards
Thomas 

========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 scf file help need      second problem can't find
graphic program open display file coupl imag
convers program none mention scf file  rix file
extens sci scf raw file color palett first byte
kind header name rix among 7byte unknown stuff
byte palett info color rgb pictur raw format dont
know make viewer descript get vpic abl read file
regard thoma
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
scf, 7675, 0.479574656719
file, 3477, 0.438181305459
rix, 7424, 0.312020740189
palett, 6398, 0.253505979736
raw, 7114, 0.234109360282
byte, 1438, 0.234109360282
color, 1907, 0.169647054297
vpic, 9590, 0.156010370094
program, 6905, 0.131019168382
dont, 2815, 0.13060083868
header, 4217, 0.124267209679
unknown, 9287, 0.117054680141
rgb, 7374, 0.114942444902
extens, 3320, 0.107066066818
thoma, 8878, 0.104773377991
viewer, 9512, 0.104465274145
convers, 2114, 0.103567064604
descript, 2557, 0.0993319620152
sci, 7690, 0.0983938191823
display, 2734, 0.0909352199472
pictur, 6622, 0.0890854464356
coupl, 2187, 0.0877972999146
regard, 7224, 0.0864525943021
mention, 5632, 0.0844647977412
format, 3612, 0.0844647977412
open, 6258, 0.0837651290691
info, 4636, 0.0830879135758
stuff, 8472, 0.0808754181068
abl, 180, 0.0772117450971
kind, 5021, 0.0752844992244
second, 7753, 0.0734481468507
imag, 4512, 0.0707446297702
graphic, 3997, 0.0694833739796
problem, 6887, 0.066397297517
read, 7135, 0.0642443264654
help, 4249, 0.0620025344125
need, 5993, 0.0567441032499
make, 5459, 0.0529334808985
know, 5052, 0.0454592442355
